japanese,arabic,inference,match
八分目,(0.8),腹八分目など
四半,(0.25),しはん
四六時中,(24),4×6＝24時間
唯一無二,(1),代わりがないこと
二番目,(2),順序
一日,(1),日付
明後日,(2),今日を0とした場合
弐,(2),に
百万,(1000000),
四つ,(4),
十万,(100000),
百,(100),
万,(10000),日本語は4桁ごとに区切る
一昨年,(-2),今年を0とした場合
一回忌,(1),没後
四半世紀,(25),年数
三羽ガラス,(3),優れた3人組
拾,(10),じゅう
一兆,(1000000000000),
〇,(0),
三つ,(3),
一億,(100000000),
八百万,(8000000),無数、極めて多いこと
一分,(0.01),分
十,(10),
五つ,(5),
二つ,(2),
八つ,(8),
六つ,(6),
一つ,(1),物を数える基本
千,(1000),
壱,(1),いち
第一,(1),順序
半分,(0.5),
一,(1),
九つ,(9),
五分五分,(0.5),五分は半分
一昨日,(-2),今日を0とした場合
一厘,(0.001),厘
二日,(2),日付
廿,(20),にじゅう
コンビ・対,(2),二人、一対
十,(10),
十四日,(14),日付
参,(3),さん
単身,(1),一人
二十日,(20),日付
三日,(3),日付
一割,(0.1),割
七つ,(7),
