japanese,arabic,remarks
一,1,
十,10,
百,100,
千,1000,
万,10000,日本語は4桁ごとに区切る
十万,100000,
百万,1000000,
一億,100000000,
一兆,1000000000000,
〇,0,
壱,1,いち
弐,2,に
参,3,さん
拾,10,じゅう
廿,20,にじゅう
一つ,1,物を数える基本
二つ,2,
三つ,3,
四つ,4,
五つ,5,
六つ,6,
七つ,7,
八つ,8,
九つ,9,
十,10,
第一,1,順序
二番目,2,順序
一日,1,日付
二日,2,日付
三日,3,日付
十四日,14,日付
二十日,20,日付
一昨日,-2,今日を0とした場合
明後日,+2,今日を0とした場合
一昨年,-2,今年を0とした場合
四半世紀,25,年数
一回忌,1,没後
一割,0.1,割
一分,0.01,分
一厘,0.001,厘
五分五分,50% / 50%,五分は半分
半分,0.5,
四半,0.25,しはん
八分目,0.8,腹八分目など
単身,1,一人
コンビ・対,2,二人、一対
唯一無二,1,代わりがないこと
四六時中,24,4×6＝24時間
三羽ガラス,3,優れた3人組
八百万,8000000,無数、極めて多いこと
