〇,(0)
一,(1)
二,(2)
三,(3)
四,(4)
五,(5)
六,(6)
七,(7)
八,(8)
九,(9)
十,(10)
百,(100)
千,(1000)
万,(10000)
億,(100000000)
兆,(1000000000000)
壱,(1)
弐,(2)
参,(3)
肆,(4)
伍,(5)
陸,(6)
漆,(7)
捌,(8)
玖,(9)
拾,(10)
佰,(100)
仟,(1000)
萬,(10000)
十一,(11)
二十二,(22)
三十五,(35)
四十八,(48)
五十九,(59)
六十六,(66)
七十七,(77)
八十八,(88)
九十九,(99)
百一,(101)
二百五十,(250)
三百六十五,(365)
千十,(1010)
二千二十六,(2026)
五千五百,(5500)
八千八百八十八,(8888)
一万二千,(12000)
十万,(100000)
百万,(1000000)
一千万,(10000000)
一億二千万,(120000000)
三兆五千億,(3500000000000)
百二十一,(121)
二百四十四,(244)
三百五十七,(357)
四百九十八,(498)
五百一,(501)
六百七十二,(672)
七百八十九,(789)
八百十六,(816)
九百三十三,(933)
千二百,(1200)
二千五百六十,(2560)
三千八百,(3800)
四千五百六十七,(4567)
五千九百九十九,(5999)
六千百十一,(6111)
七千三百四十,(7340)
八千六百五十二,(8652)
九千九百九,(9909)
一万五千,(15000)
二万三千四百,(23400)
三万八千,(38000)
四万二千百,(42100)
五万五千五百,(55500)
六万七千,(67000)
七万八千九百,(78900)
八万一千,(81000)
九万九千九百,(99900)
十二万,(120000)
二十五万,(250000)
四十八万,(480000)
五十六万,(560000)
七十二万,(720000)
八十九万,(890000)
百二十五万,(1250000)
三百五十万,(3500000)
五百七十万,(5700000)
八百万,(8000000)
一千二百万,(12000000)
三千五百万,(35000000)
六千八百万,(68000000)
九千万,(90000000)
一億五千万,(150000000)
三億,(300000000)
十億,(1000000000)
五百億,(50000000000)
一千億,(100000000000)
八千億,(800000000000)
一兆,(1000000000000)
十兆,(10000000000000)
百兆,(100000000000000)
壱百,(100)
弐百,(200)
参百,(300)
肆百,(400)
伍百,(500)
陸百,(600)
漆百,(700)
捌百,(800)
玖百,(900)
壱仟,(1000)
弐仟,(2000)
参仟,(3000)
伍仟,(5000)
拾万,(100000)
壱拾壱,(11)
弐拾弐,(22)
参拾参,(33)
肆拾肆,(44)
伍拾伍,(55)
陸拾陸,(66)
漆拾漆,(77)
捌拾捌,(88)
玖拾玖,(99)
壱百壱拾,(110)
壱仟弐百参拾肆,(1234)
伍仟陸百漆拾捌,(5678)
壱万弐仟,(12000)
参拾万,(300000)
壱億,(100000000)
弐拾億,(2000000000)
百三十五,(135)
四百六十二,(462)
七百八十四,(784)
九百五十一,(951)
千六百三,(1603)
二千八百七十,(2870)
四千九百,(4900)
五千五,(5005)
八千二百一,(8201)
壱万参仟,(13000)
弐万伍千,(25000)
肆万七百,(40700)
六万八千九百,(68900)
拾万弐千,(102000)
参拾万伍仟,(305000)
伍拾捌万,(580000)
七拾二万参千,(723000)
九十万九千,(909000)
百壱拾万,(1100000)
弐百伍拾万,(2500000)
肆百八十万,(4800000)
漆百参拾万,(7300000)
九百九十九万,(9990000)
壱千万漆千,(10007000)
参千伍百万,(35000000)
陸千四百万,(64000000)
捌千九拾万,(80900000)
壱億壱千万,(110000000)
弐億四千万,(240000000)
伍億六千七百万,(567000000)
拾億,(1000000000)
参拾伍億,(3500000000)
漆拾億,(7000000000)
玖拾玖億,(9900000000)
百億,(10000000000)
弐百伍拾億,(25000000000)
肆百億,(40000000000)
捌百捌拾億,(88000000000)
壱千億,(100000000000)
参千二百億,(320000000000)
伍千億,(500000000000)
玖千九百億,(990000000000)
壱兆,(1000000000000)
弐兆伍千億,(2500000000000)
伍兆,(5000000000000)
拾兆,(10000000000000)
伍拾兆,(50000000000000)
百兆,(100000000000000)
壱千兆,(1000000000000000)
弐拾壱,(21)
参拾肆,(34)
肆拾伍,(45)
伍拾陸,(56)
陸拾漆,(67)
漆拾捌,(78)
捌拾玖,(89)
玖拾,(90)
壱百弐拾,(120)
弐百参拾肆,(234)
参百肆拾伍,(345)
肆百伍拾陸,(456)
伍百陸拾漆,(567)
陸百漆拾捌,(678)
漆百捌拾玖,(789)
捌百玖拾,(890)
玖百壱拾,(910)
壱仟壱百,(1100)
弐仟弐百,(2200)
参仟参百,(3300)
