japanese,pds
一万五千,_ 1 05 5 04 _
弐拾弐,_ 2 02 2 01 _
伍千億,_ 5 012 _
七千三百四十,_ 7 04 3 03 4 02 _
漆百捌拾玖,_ 7 03 8 02 9 01 _
百一,_ 1 03 1 01 _
四十八,_ 4 02 8 01 _
三万八千,_ 3 05 8 04 _
肆百億,_ 4 011 _
弐仟弐百,_ 2 04 2 03 _
伍拾陸,_ 5 02 6 01 _
百兆,_ 1 015 _
八万一千,_ 8 05 1 04 _
参百,_ 3 03 _
三十五,_ 3 02 5 01 _
弐百参拾肆,_ 2 03 3 02 4 01 _
三千五百万,_ 3 08 5 07 _
九千万,_ 9 08 _
兆,_ 1 013 _
五百七十万,_ 5 07 7 06 _
参拾肆,_ 3 02 4 01 _
拾億,_ 1 010 _
十兆,_ 1 014 _
七百八十九,_ 7 03 8 02 9 01 _
壱百,_ 1 03 _
壱百壱拾,_ 1 03 1 02 _
一万二千,_ 1 05 2 04 _
三百六十五,_ 3 03 6 02 5 01 _
二百五十,_ 2 03 5 02 _
肆,_ 4 01 _
玖拾玖,_ 9 02 9 01 _
億,_ 1 09 _
一,_ 1 01 _
捌百捌拾億,_ 8 011 8 010 _
五万五千五百,_ 5 05 5 04 5 03 _
参百肆拾伍,_ 3 03 4 02 5 01 _
八十八,_ 8 02 8 01 _
四千五百六十七,_ 4 04 5 03 6 02 7 01 _
玖千九百億,_ 9 012 9 011 _
伍仟陸百漆拾捌,_ 5 04 6 03 7 02 8 01 _
百二十五万,_ 1 07 2 06 5 05 _
千二百,_ 1 04 2 03 _
拾兆,_ 1 014 _
弐拾億,_ 2 010 _
〇,_ _
九千九百九,_ 9 04 9 03 9 01 _
十,_ 1 02 _
十億,_ 1 010 _
二百四十四,_ 2 03 4 02 4 01 _
六万七千,_ 6 05 7 04 _
漆百参拾万,_ 7 07 3 06 _
八千二百一,_ 8 04 2 03 1 01 _
伍,_ 5 01 _
捌千九拾万,_ 8 08 9 06 _
七百八十四,_ 7 03 8 02 4 01 _
玖拾,_ 9 02 _
二千五百六十,_ 2 04 5 03 6 02 _
参拾万伍仟,_ 3 06 5 04 _
伍仟,_ 5 04 _
二,_ 2 01 _
六十六,_ 6 02 6 01 _
六百七十二,_ 6 03 7 02 2 01 _
壱億壱千万,_ 1 09 1 08 _
玖,_ 9 01 _
漆,_ 7 01 _
十万,_ 1 06 _
一億五千万,_ 1 09 5 08 _
伍兆,_ 5 013 _
肆百,_ 4 03 _
四万二千百,_ 4 05 2 04 1 03 _
壱千万漆千,_ 1 08 7 04 _
四百六十二,_ 4 03 6 02 2 01 _
八百十六,_ 8 03 1 02 6 01 _
捌,_ 8 01 _
参,_ 3 01 _
八千六百五十二,_ 8 04 6 03 5 02 2 01 _
六,_ 6 01 _
弐百伍拾億,_ 2 011 5 010 _
百億,_ 1 011 _
弐億四千万,_ 2 09 4 08 _
十一,_ 1 02 1 01 _
七十七,_ 7 02 7 01 _
漆百,_ 7 03 _
百万,_ 1 07 _
一千億,_ 1 012 _
弐仟,_ 2 04 _
壱千億,_ 1 012 _
五千九百九十九,_ 5 04 9 03 9 02 9 01 _
