japanese,arabic,inference,match
八分目, (0.8), (0.8), True
四半, (0.25), (0.25), True
四六時中, (24), (24), True
唯一無二, (1), (1), True
二番目, (2), (2), True
一日, (1), (1), True
明後日, (2), (2), True
弐, (2), (2), True
百万, (1000000), (10000000), False
四つ, (4), (4), True
十万, (100000), (1000000000), False
百, (100), (100), True
万, (10000), (10000), True
一昨年, (-2), (-2), True
一回忌, (1), (1), True
四半世紀, (25), (250), False
三羽ガラス, (3), (3), True
拾, (10), (10), True
一兆, (1000000000000), (100000000000), False
〇, (0), (0), True
三つ, (3), (3), True
一億, (100000000), (10000000000), False
八百万, (8000000), (800000000), False
一分, (0.01), (0.01), True
十, (10), (10), True
五つ, (5), (5), True
二つ, (2), (2), True
八つ, (8), (8), True
六つ, (6), (6), True
一つ, (1), (1), True
千, (1000), (10000), False
壱, (1), (1), True
第一, (1), (1), True
半分, (0.5), (0.5), True
一, (1), (1), True
九つ, (9), (9), True
五分五分, (0.5), (0.5), True
一昨日, (-2), (-2), True
一厘, (0.001), (0.01), False
二日, (2), (2), True
廿, (20), (20), True
コンビ・対, (2), (2), True
十, (10), (10), True
十四日, (14), (14), True
参, (3), (100000), False
単身, (1), (1), True
二十日, (20), (2), False
三日, (3), (3), True
一割, (0.1), (0.25), False
七つ, (7), (7), True
